№,Name,Decription,Price: ,Image URL
1,Land Rover Range Rover,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км",$ 67 500,https://im.mashina.kg/tachka/images//3/d/b/3dbd985e30d13fd0c93b3e6465844d98_240x180.jpg
2,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,119000км",$ 18 500,https://im.mashina.kg/tachka/images//a/b/e/abe6c76b5cb4785302da0daa85f76356_240x180.jpg
3,Mercedes-Benz C-Класс,"2023г.,2л.,автоматседан,бензинрульслева,5400км",$ 42 000,https://im.mashina.kg/tachka/images//7/f/4/7f476301245450decaabebad6ed17784_240x180.jpg
4,Mercedes-Benz GLE,"2024г.,3л.,автоматвнедорожник5дв.,бензинрульслева,15км",$ 125 000,https://im.mashina.kg/tachka/images//7/a/c/7ac162d173082bbe8ef1a321207b7eee_240x180.jpg
5,Toyota Camry,"2020г.,2.5л.,вариаторседан,гибридрульслева,175000км",$ 19 999,https://im.mashina.kg/tachka/images//d/8/e/d8e505e1ee6eb303f2bc18c847d77202_240x180.jpg
6,Toyota Tacoma,"2022г.,2.7л.,автоматпикапполуторнаякабина,бензинрульслева,35083км",$ 31 000,https://im.mashina.kg/tachka/images//6/a/2/6a21cf113e13c513cd35d9804a009b6c_240x180.jpg
7,Lexus ES,"2017г.,2.5л.,автоматседан,бензинрульслева,102000км",$ 24 500,https://im.mashina.kg/tachka/images//a/c/c/acca4b1da9261de939e5c120cab9a4b8_240x180.jpg
8,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,127138км",$ 44 000,https://im.mashina.kg/tachka/images//5/3/5/535e8777d1285bf4d65ab5169d3347ef_240x180.jpg
9,Land Rover Range Rover,"2013г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,150000км",$ 44 000,https://im.mashina.kg/tachka/images//0/a/b/0abebc8e47c5b72063023a8dc9763783_240x180.jpg
10,BMW 7 серии,"2017г.,4.4л.,автоматседан,бензинрульслева,89000км",$ 49 990,https://im.mashina.kg/tachka/images//e/e/f/eef72cd4004e7f63f376d3d03b89ae59_240x180.jpg
11,BMW 7 серии,"2019г.,4.4л.,автоматседан,бензинрульслева,28000км",$ 98 000,https://im.mashina.kg/tachka/images//1/8/0/180d0869e933e6237d179ac81933964a_240x180.jpg
12,Voyah Free,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,50км",$ 40 000,https://im.mashina.kg/tachka/images//f/d/0/fd05e6106122eb68f2a769968839ef71_240x180.jpg
13,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",$ 39 900,https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg
14,Tesla Model 3,"2020г.,автоматседан,электрорульслева,16000км",$ 33 500,https://im.mashina.kg/tachka/images//9/0/7/907b16142ed0efb3a0daee7d90e87ff6_240x180.jpg
15,Land Rover Range Rover Sport,"2010г.,5л.,автоматвнедорожник5дв.,бензинрульслева,240000км",$ 18 500,https://im.mashina.kg/tachka/images//2/3/0/23011ff089578e45cf6964550914933a_240x180.jpg
